timestamp,speaker,words,tags
00:00:00,Megan Palmer,"Today I'm here speaking with Christina Tramack on December 4th, 2025 for the Everyday Harmony Oral History Project. That's a project where I'm talking to everyday barbershoppers about their experience with the style, community, and culture of barbershop music. Christina has officially been a barbershopper since they were just 10 years old and has had nothing short of, like, a pretty awesome barbershop journey since then. And I can't wait to get to talk to you about it. Thanks so much for having me here in the Tramack home.",
,Christina Tramack,Thanks for coming up and being here.,
00:00:33,Megan,"Thank you. So, for most people I might ask a question, like, ""How did you first get involved in barbershop?"" But that seems like kind of a silly question for you. So I would love to kick this off by asking a question, like, literally close to home: What role did barbershop play in your childhood and in your family?",
00:00:53,Christina,"Yeah, so barbershop has always been around in my life. I was born into it quite literally. My parents met through barbershop. They were both — they are both barbershop brats, actually, and then they met at a show and then got married and had kids and all, we all grew up around barbershop. So it's just been part of the family since our beginnings.",family
00:01:15,Megan,"Literally generations, right?",
,Christina,Literally. ,
,Megan,You're like the third generation on one side?,
00:01:19,Christina,"Yeah, I'm third on my mom's. My mom's mom started in Harmony Inc. the year they began in 1959. So she would — she would claim she was not a charter member, but she was. She joined before the year was up. And my dad, on his line, I'm a fifth generation barbershopper. So it goes back to my great-great-grandfather. Yeah, that's how that works.",family 
00:01:43,Megan,"That's so awesome. Do you have like any especially early memories of barbershop, like being around or like being a part of your life?",
00:01:52,Christina,"Yeah, I have a couple memories of just even in the house... If we can — let's move you just for now, there we go. So childhood, I remember my parents having quartet rehearsals at the house, so we were always ""music center""; people would always come to us. We would host parties as well, but they would have quartet rehearsals as well. And I have one specific memory of when a quartet, you know, is standing facing each other in that ""bucket"" or ""circle,"" whatever you call it.",childhood
,Megan,"In the ""box.""",
,Christina,"The box, so many names for it. When I was a kid — little, little — I can't even tell you how old, I would crawl into the middle of the pit, of the circle there and look up at the people singing. And I did that for both my mom and dad's quartet, but I distinctly remember my mom's quartet and just like, just being surrounded by the harmony and lookin' up and enjoying it, yeah.",childhood
00:02:56,Megan,"Were you also a part of music like at your school, like in addition to barbershop?",
00:03:01,Christina,"Yeah. I wanted to be in band when I started middle school, but at the time we had to pick band or chorus. They don't have that anymore, but — that restriction — but I was influenced to start in chorus, and that was around the same time I joined barbershop for the first time too. So like all the choral stuff happened all at once.",childhood
,Megan,So you joined your first chorus at how old?,
00:03:27,Christina,I was 10 when I joined them.,
00:03:31,Megan,Okay. And tell me about that experience.,
00:03:46,Christina,"Yeah. My mom has been the director [of New England Voices in Harmony] for a long time now. She didn't start as co-director, but she was pretty close to co-director at their formation. They started in 2000, chartered in 2001 with Harmony Inc. I joined in 2004.",family; chorus
00:03:48,Megan,"And that's New England Voices in Harmony, right?",
,Christina,"That's New England Voices in Harmony. And it's — so I joined fairly early on in their, like, just development as a chorus. I did not pass my first audition. [laughs]",childhood; chorus
,Megan,Dang. The secrets come out,
,Christina,And so…,
,Megan,"Because you were, what? Ten!",
,Christina,I was ten!,
,Megan,Okay.,
,Christina,"And at the time we could pick our own song. Now we sing the theme song and that's just the standard for everyone coming in. But we could pick our own song, so I sang ""Under the Boardwalk,"" and I was a lead. And I guess I got lost too many times without coming back. I mean, it was a quartet, you know, audition, so it's tough as a ten year old. I remember crying in the bathroom after that and just sobbing. Just so sad. My mom tried to encourage me, and I was just like, ""I can't believe it!"" But I did pass the second time I tried it, and I've been a member ever since. I took a short break while I was in college cause I was in Tennessee, but other than that I've been active with them and singing for 21 years now.",childhood; chorus
00:04:56,Megan,"Now, with your mom being the director of the chorus and your dad being involved in barbershop, when would you say you like realized that your parents were like ""kind of a big deal"" in this space?",
00:05:10,Christina,"[laughs, pushes cat away] Just push him off. [sighs] I would probably pin it around the time I joined in all honesty. I was obviously aware of barbershop and like the influence it had on us and our lives, but until I was really in it, I didn't really know how big of a deal they were. And like, my dad was the director of the Nashua Granite Statesmen at the time. And in those days, it was about the peak of where that chorus was. They were consistently averaging ""A,"" they were really, you know, just a phenomenal chorus, and my dad was the frontline director during that whole time, which is awesome. And then my — again, my mom's been directing the chorus as well. So their influences grew since then too. But like, even then it was like, ""Okay, this is kind of a big deal."" Yeah.",family
00:06:04,Megan,"Did you ever feel any, like, pressure because of that? Like, was there ever a world in which you didn't sing barbershop? Like, would that have been okay?",
00:06:14,Christina,"[laughs] So, yeah, definitely felt pressure, but not in, like, needing to sing. I don't think they really forced us, although my mom did drag me to a lot of rehearsals before I was ten. When she would coach or she would go — she was directing other choruses at the time — and she would just kind of drag me along to see if this one would stick. And New England voices did; there were younger people in the chorus, so that was really the big draw there. But the — oh gosh, I lost my train of thought here.",family
00:06:50,Megan,"Joining the chorus, feeling pressure. Yeah.",
00:06:53,Christina,"Yeah. It was more so walking through conventions and feeling the pressure of like, ""Wow, everyone knows my dad.""",
,Megan,Mm-hmm.,
,Christina,"And being introduced to everyone as ""Steve Tramack's daughter."" And that was just like the constant. And I would get recognized later on because of that too. And that's the part that felt more like pressure instead of the actual getting involved in singing, cause it's just, it's intimidating when your parents are well known.",family
00:07:25,Megan,Even in such a niche hobby.,
,Christina,Right.,
,Megan,It still feels like they're rock stars sometimes.,
00:07:30,Christina,"Yeah. Absolutely. When you're in that bubble, absolutely.",
00:07:33,Megan,"Now you've sung with New England Voices in Harmony now for over 20 years minus, you know, that like one break you took for college. Can you tell me a little bit about that journey? Any particular high points for the chorus or for you as a chorus singer?",
00:07:48,Christina,"Yeah. I've gotten most, if not all, of my vocal training through the chorus since I joined. I've had coachings with quartets at that by now too, but all of my upbringing vocally, I've never seen like a vocal coach. Yeah. Like I mean — and I was in chorus in school, so I did get training there too, but it's just, barbershop's different.",
,Megan,Yes.,
,Christina,"And I've been on the journey with this chorus. When we joined — when I joined, we were not a medalist chorus at International. We became one in 2006, which is super cool. At the time they were doing placements one through four, not one through five for medals, and we were fourth place that year. And I still remember my mom just bawling on the phone with my dad cause he wasn't at that convention when we — it was in Jacksonville, Florida. That was a very, very cool moment.",contest; chorus
00:08:51,Megan,Had you sung at the international contest before up to that point and like not medaled or was that the first time being there?,
00:08:56,Christina,"My first international was '05, and we did not medal, but we were in the top 10, and there's only one round for choruses, so that was cool. I think we were at sixth place that year, if I remember correctly. But yeah, that first medal in '06 was incredible. And then, fast forward to 2014, we won the International Contest for the first time, which was just mind blowing. I think we won by one total point. It was a very, very close contest.",contest; chorus
,Megan,Awesome.,
00:09:57,Christina,"We basically tied with second place, and we said we would share our medals with them. Absolutely. But it was a very, very close contest. That same contest, one of our chapter quartets also won the quartet contest. So that was a really fun and cool year of like— our reigning year of having both the reigning champion quartet as part of the reigning championship chorus was a lot for that quartet.",contest; chorus
,Megan,So cool.,
,Christina,"But it was, yeah, it was very, very cool. And then we also won in 2018, and that one came out of nowhere. We were not expecting to win that one. It just... ""right place at right time."" And even recently last month, we had our International. It's always in November, at the beginning of November. And a lifelong goal of my mom's as director, but also in her own personal life, has been to score like average ""A."" And we did that for the first time this past November. We got an 81.5 and we're very, very happy about it. And we got second place, and it's the most proud second place medal we've ever received.",contest; chorus
00:10:36,Megan,Sometimes second place feels just as good at first when you know you worked so dang hard for it.,
00:10:41,Christina,"It was the goal that we wanted, and it's the goal that we achieved. And it's been years and years in the making. So some really, really cool points for the chorus there.",
00:10:53,Megan,"Yeah, getting to see a chorus develop like that... Would you say anything, like, changed in the way that you were thinking or rehearsing or practicing? Like, what in your opinion has, like, been the thing that's allowed the chorus to, like, you know, ascend and, like, achieve so much?",
00:11:10,Christina,"I think it's part the culture which has changed a lot actually over the years. And the members themselves, we've had a lot of change over. There's a few of us that are still hanging on for, for a while now. We can shove him off if he's…",chorus
,Megan,[talking to cat] Do you need to be there? [both laugh] You'd be fine if you weren't playing with the microphone!,
00:11:31,Christina,"He just is playing with the wrong things. [laughs] Yeah, so the culture has shifted, the members have shifted. Even recently we've gained a bunch of new members, and it's even shifted again in recent, recent times. So I think that's helped with the…",
,Megan,You were being good until you was being bad.,
,Christina,You were. You can come over here. You don't have to play with that. Or you can go down. There we go. [laughs],
00:12:01,Megan,"It's part of the ""everyday harmony"" It's…",
00:12:04,Christina,That's it.,
00:12:05,Megan,It's praxis. [both laugh],
00:12:07,Christina,"Yeah, so I would say it comes down to the motivation of the individual people that's helped us grow and learn and all be on the same page and share the same goals of what we want to accomplish.",chorus
00:12:22,Megan,"And you mentioned about the culture, like, kind of shifting. Like, how would you describe the culture of New England Voices? What makes it special?",
00:12:33,Christina,"It is very unique right now. As I, yeah, as I was saying, it was... we had some tough times just after COVID. COVID, we were still active, we did Zoom. We, like most choruses, we tried something virtual. And we made it through, and it was fine, but it was definitely like a pullback of, like, reassessing where we want to be as a chorus. And then the year, like, I want to say '22, '23, around those years, even as recent as last year, there's just been a lot of burnout on the older members, myself included. I'm one of the oldest members there now as far as longevity of being there. And I was really feeling the burnout last year of just... it was a drag to get to rehearsals, just cause it was — we felt stuck and like, there wasn't any like movement forward. ",chorus
,Christina,"And then this new shift of people came in, and it's really sparked a new drive and energy in the chorus. And now that we — our retreat weekends are really special where, especially for offsite, we do them early fall, like usually September. It's a time to integrate and to really like bond with our chorusmates, especially when we're offsite, and we've been going to Rolling Ridge in Massachusetts. It's a really beautiful, like retreat destination, quite literally. It's an old house that's made for retreats for groups. And we've done that the last two years, and it's been really cool to like, to be offsite again, cause we would do our retreat weekends at home base in Nashua at our regular rehearsal hall, and it's fine, but there's no game time afterwards. There's no way for us to all bond. So I think with that, the new people have integrated, and it's just been a new kind of buzzing energy of like, ""We're really excited to perform and excel and be excited about growing as a chorus and yay we made the ""A"" score. Let's see what we can do next."" So, yeah.",chorus
00:14:55,Megan,"It's really cool to be able to make it through a tough time as a group, to come out the other side of it and to just be something new and also the same.",
,Christina,Yeah.,
,Megan,"So it's really cool. Now in addition to singing in a chorus, you've also sung in quite a few quartets. What was the first quartet you sang in and what was that experience like?",
00:15:20,Christina,"My first quartet was Cloud Nine, which I still love that name. Took us forever to find that name. I'm actually currently singing with that lead only we've swapped parts. I'm singing lead now, and she's singing baritone in our current quartet High Gear. But Cloud Nine was made up of myself on baritone and I was a teenager, I was in high school. And Jean Kroll, who was a Harmony Queen with Synchronicity in 2004 by that point. I think we formed in like '09, I want to say. And then Kate Steer was our tenor, who was another member of the chorus. She was a baritone at the time, so she swapped parts to be part of this quartet. And then Jen Selby was the lead. ",quartet
,Christina,"And we made the top 10 our first year, which is amazing. We jumped a huge amount in score from area to IC&C that year. Cause we'd like just barely formed, and then we went to area, and we just barely qualified with like a 64-5 or something like that. And then we made it to International. It was like a 72 that we got. And it was — we got novice awards for those years. And then fast forwarding to 2011, yeah, it was 2011, we medaled for the first time. We got fifth place, which was super, super cool. But we ended up having to call it from there. Cause I was in college that year, and they were having a really hard time even those first few months doing a long distance kind of quartet, even if it was just the baritone. So...",contest; quartet
,Megan,It changes things though.,
,Christina,"It does. It does. And I mean, I'm experiencing that now. Our bass in high gear, Dev Green is a snowbird, so she's down in Florida for half of the year, basically, she's down there now. So we're a trio until she returns. But yeah, Cloud Nine was super fun. And then they asked if they could continue with a different baritone and change their name. And the baritone even called me and was like, ""Are you okay if I join them?"" And I was like, ""I can't think of anyone better to join them."" That quartet became Moonstruck, who was the quartet that won in 2014 with my chorus that also won that year. So it was kind of cool that it came full circle that way, yeah.",quartet
